cc,country,distance,force_ping_select,host,https_functional,id,isp_id,lat,lon,name,preferred,sponsor,url
US,United States,4764,,helena.speedtest.centurylink.net:8080,1,10150,86113,46.5958,-112.0270,"Helena, MT",0,CenturyLink,https://helena.speedtest.centurylink.net:8080/speedtest/upload.php
US,United States,4764,,speedtesthelena.blackfoot.com.prod.hosts.ooklaserver.net:8080,1,34879,2070,46.5958,-112.0270,"Helena, MT",0,Blackfoot,http://speedtesthelena.blackfoot.com:8080/speedtest/upload.php
US,United States,4764,,caf01.vision.net:8080,1,33701,506,46.5958,-112.0270,"Helena, MT",0,Vision Net,http://caf01.vision.net:8080/speedtest/upload.php
FI,Finland,1187,,speedtest.valoonet.fi.prod.hosts.ooklaserver.net:8080,1,56225,252182,60.1698,24.9383,Helsinki,0,Valoo,http://speedtest.valoonet.fi:8080/speedtest/upload.php
FI,Finland,1187,,hls.speedtest.gslnetworks.com.prod.hosts.ooklaserver.net:8080,1,65088,321731,60.1698,24.9383,Helsinki,0,GSL Networks,http://hls.speedtest.gslnetworks.com:8080/speedtest/upload.php
FI,Finland,1187,,speedtest.radiotown.fi:8080,1,43442,2562,60.1698,24.9383,Helsinki,0,Radio Town,http://speedtest.radiotown.fi:8080/speedtest/upload.php
FI,Finland,1187,,nopeus.dna.fi:8080,1,14164,39622,60.1698,24.9383,Helsinki,0,DNA Welho Oy,http://nopeus.dna.fi:8080/speedtest/upload.php
FI,Finland,1187,,speedtest-fi.the.hosting.prod.hosts.ooklaserver.net:8080,1,72536,319317,60.1698,24.9383,Helsinki,0,THE.Hosting,http://speedtest-fi.the.hosting:8080/speedtest/upload.php
FI,Finland,1187,,speedtest.extra.telia.fi:8080,1,14928,751,60.1699,24.9384,Helsinki,0,Telia,http://speedtest.extra.telia.fi:8080/speedtest/upload.php
FI,Finland,1187,,nico2004-speedtest.de.prod.hosts.ooklaserver.net:8080,1,72448,0,60.1699,24.9384,Helsinki,0,Nico,http://nico2004-speedtest.de:8080/speedtest/upload.php
